(562.5 375), (581.25 393.75)
(525 337.5), (562.5 375)
(562.5 356.25), (581.25 375)
(525 375), (562.5 412.5)
(581.25 375), (590.625 384.375)
(581.25 384.375), (590.625 393.75)
(562.5 393.75), (581.25 412.5)
(581.25 393.75), (590.625 403.125)
